"t_state","t_county","tot_cap","avg_p_cap","avg_hh","avg_rd","ordinance","t_manu","turbines","t_model","t_rsa","t_ttlh","fraction_of_usable_area","capacity","wind_speed","capacity_factor","area_2010"
"MT","Teton",39.9,23.6157894736842,80,104.789473684211,0,"GE Wind",19,"GE2.3-107",8632.63894736842,132.426315789474,0.946176190476191,15.4285714285714,8.75396825396825,0.361539682539683,2272.38
"MT","Toole",312,148.918269230769,80,77,0,"Acciona",208,"AW77/1500",4656.63,118.6,0.875672258064516,14.4774193548387,8.17238709677419,0.409406451612903,1915.65
"MT","Wheatland",166.175,105.568717948718,75.9794871794872,75.0897435897436,0,"GE Wind",117,"GE1.5-77",4611.00034188034,113.611111111111,0.920558333333333,15.1458333333333,7.844375,0.38053125,1423.2
"NC","Pasquotank",100,208,93,114,1,"Gamesa",50,"G114-2.0",10207.03,150,1,16,7.24,0.426,226.88
"ND","Adams",155.5,91.364406779661,82.9830508474576,104.610169491525,0,"Nordex",59,"N100",8639.6993220339,135.333898305085,0.97981724137931,15.7241379310345,8.20655172413793,0.457586206896552,987.62
"ND","Barnes",258.9,137.782941176471,80,86.4147058823529,1,"GE Wind",170,"GE1.5-91",5890.44388235294,123.295882352941,1,16,7.88469387755102,0.446163265306122,1491.55
"ND","Bowman",19.5,19.5,80,77,1,"GE Wind",13,"GE1.5-77",4656.63,118.6,0.949509278350515,15.3814432989691,8.18288659793815,0.45340206185567,1161.81
"ND","Burke",193.24,193.24,88.9189189189189,114.594594594595,0,"GE Wind",74,"GE2.72-116",10326.587027027,146.294594594595,0.941101255230126,15.255230125523,8.07698744769874,0.454150627615063,1103.57
"ND","Burleigh",204.2,69.6815384615385,80,90.4615384615385,1,"GE Wind",130,"GE1.6-91",6432.83192307692,125.330769230769,0.916713636363636,14.8181818181818,7.84454545454545,0.436568181818182,1632.65
"ND","Cavalier",210.66,92.1929323308271,80,85.9172932330827,0,"GE Wind",133,"GE1.62-91",5826.38526315789,123.015037593985,0.990401818181818,15.8909090909091,8.10990909090909,0.465709090909091,1488.75
"ND","Dickey",253.5,124.869718309859,80,102.760563380282,0,"Vestas",142,"V120-2.0",8554.55647887324,131.332394366197,0.9542825,15.525,8.2155,0.468875,1131.47
"ND","Emmons",175.76,216.44,81.566265060241,108.168674698795,0,"GE Wind",83,"GE1.72-103",9221.31397590361,135.630120481928,1,16,7.63923076923077,0.415615384615385,1510.44
"ND","Griggs",46.5,120,80,77,0,"GE Wind",31,"GE1.5-77",4656.63,118.6,1,16,7.87,0.4452,708.82
"ND","Hettinger",149.03,149.03,80,114.444444444444,0,"GE Wind",72,"GE2.0-116",10304.4258333333,137.322222222222,1,16,8.00045454545455,0.441363636363636,1132.22
"ND","Logan",40.68,216.44,84.2105263157895,108.473684210526,1,"GE Wind",19,"GE1.72-103",9273.77631578947,138.431578947368,0.995554545454545,15.969696969697,8.07969696969697,0.456954545454545,992.82
"ND","McHenry",111.27,67.4654347826087,78.8695652173913,96.804347826087,0,"Vestas",46,"V126-3.45",8502.05217391304,127.234782608696,0.970519834710744,15.603305785124,7.43735537190083,0.402297520661157,1873.95
"ND","McIntosh",138,150,80,110,0,"Vestas",69,"V110-2.0",9503.32,135,0.994584210526316,16,8.15657894736842,0.462210526315789,974.73
"ND","Mercer",17.5,106.7,90,116,1,"GE Wind",7,"GE2.5-116",10568.32,148.1,0.991116666666667,16,7.65833333333333,0.413333333333333,1042.96
"ND","Morton",480.25,98.7706632653061,81.8367346938775,106.576530612245,1,"GE Wind",196,"SWT-3.0-101",8965.27770408163,135.187755102041,0.999469101123596,16,8.07157303370787,0.448775280898876,1926.27
"ND","Oliver",386.4,118.852040816327,85.4421768707483,105.197278911565,1,"Siemens",147,"SWT-3.2-113",8751.04517006803,138.078231292517,0.997977391304348,15.9826086956522,8.03060869565217,0.448086956521739,722.51
"ND","Pembina",1,1,70,59,0,"Nordic",1,"N1000",2733.97,99.4,0.974810638297872,15.7021276595745,7.13212765957447,0.382659574468085,1118.69
"ND","Pierce",149.1,149.1,79,88,1,"Suzlon",71,"S88",6082.12,123.1,0.992766666666667,15.9047619047619,7.2247619047619,0.382047619047619,1018.6
"ND","Rolette",150,150,95,100,0,"Vestas",75,"V100-2.0",7853.98,145.1,0.993211111111111,16,7.85222222222222,0.438777777777778,903.08
"ND","Stark",169.73,145.015567010309,80,102.474226804124,1,"GE Wind",97,"GE1.715-103",8248.4624742268,131.172164948454,0.997939873417722,15.9873417721519,8.22227848101266,0.462759493670886,1334.74
"ND","Steele",123,91.6280487804878,80,79.2134146341463,0,"GE Wind",82,"GE1.5-77",4933.90646341463,119.686585365854,1,16,8.28411764705882,0.481372549019608,712.22
"ND","Stutsman",200,200,80,100,1,"Vestas",100,"V100-2.0",7853.98,130.099,0.996227272727273,15.9636363636364,7.99281818181818,0.452636363636364,2221.72
